"Name","Disc. Date","Type","Phot."
"SN2007qx","2007/11/05","Ic","89"
"SN2004gq","2004/12/11","Ib","88"
"SDSS-II SN 6614","2005/09/09","Ib/c","88"
"SDSS-II SN 7630","2005/09/09","Ib/c","88"
"SN2005la","2005/11/30","Ib-n/IIb-n","88"
"SN2006jx","2006/10/03","Ia","88"
"SN2004dk","2004/08/01","Ib","87"
"SDSS-II SN 16160","2006/09/11","Ib/c","87"
"SN2006lv","2006/10/28","Ib","87"
"SN2005hl","2005/09/12","Ib","86"
"SN2013dg","2013/05/17","SLSN-I","86"
"SDSS-II SN 1958","2005/09/09","Ib/c","85"
"SDSS-II SN 9194","2005/09/09","Ib/c","85"
"SDSS-II SN 21185","2007/09/05","Ib/c","84"
"SN2007Y","2007/02/15","Ib","83"
"SN2008aq","2008/02/27","IIb","83"
"SDSS-II SN 2699","2005/09/09","Ib/c","82"
"SDSS-II SN 2986","2005/09/09","Ib/c","82"
"SN2005fk","2005/09/12","Ic","82"
"SN2007ce","2007/05/04","Ic BL","81"
"SN2007cl","2007/05/23","Ic","81"
"SN2007D","2007/01/09","Ic BL","81"
"SDSS-II SN 21697","2007/09/05","Ib/c","80"
"SDSS-II SN 20866","2007/09/14","Ib/c","79"
"SN2007qw","2007/11/04","Ib","79"
"SDSS-II SN 19987","2007/09/14","Ib/c","78"
"SDSS-II SN 20536","2007/09/05","Ib/c","78"
"SN1972R","1972/12/05","Ib","77"
"SN2013ak","2013/03/09","IIb","76"
"PS1-12sk","2012/03/11","Ibn","74"
"SN1997ef","1997/11/25","Ic BL","73"
"SN2003bg","2003/02/25","II P","73"
"SDSS-II SN 5339","2005/09/09","Ib/c","73"
"SN2007ju","2007/09/14","Ia","72"
"SN2007ms","2007/09/13","Ic","72"
"SN2011ei","2011/07/25","IIb","72"
"SDSS-II SN 20874","2007/09/14","Ib/c","71"
"SN2007ru","2007/11/27","Ic BL","71"
"SN2006ck","2006/05/20","Ic","69"
"SN2007jc","2007/09/04","AGN","69"
"SN2007kj","2007/10/02","Ib","68"
"SN2005by","2005/05/02","II","66"
"SN2006F","2006/01/11","Ib","66"
"OGLE15eo","2015/08/15","Ia","64"
"SDSS-II SN 20552","2007/09/14","Ib/c","62"
"SN2007bg","2007/04/16","Ic BL","62"
"PTF13bvn","2013/06/16","Ib","62"
"SN1964L","1964/12/11","Ic","62"
"SN2003jd","2003/10/25","Ic BL","61"
"SN2010al","2010/03/13","Ibn","61"
"SN2011am","2011/02/27","Ib","60"
"PS15cyo","2015/11/27","Ic","59"
"SN2005kz","2005/12/01","Ic","56"
"SN2005ek","2005/09/24","Ic","54"
"SN2011hw","2011/11/18","Ibn","54"
"OGLE-2014-SN-067","2014/08/15","Ic","49"
"SN2001ig","2001/12/10","Ib/c","47"
"SN2006dn","2006/07/05","Ib","47"
"SN2012cd","2012/05/06","IIb","47"
"SN2004fe","2004/10/30","Ic","46"
"SN1984I","1984/05/10","Ib","44"
"SN2007rz","2007/12/08","Ic","43"
"SN2000cr","2000/06/25","Ic","42"
"SN2005kf","2005/11/11","Ic","42"
"SN2014C","2014/01/05","Ib","42"
"SN2001B","2001/01/03","Ib","41"
"PTF09atu","2009/07/14","SLSN-I","41"
"SN2009mk","2009/12/15","II","41"
"LSQ12btw","2012/04/09","Ibn","41"
"SN2011ef","2011/07/18","IIb","40"
"SN1983I","1983/05/11","Ic","39"
"SN2007ag","2007/03/07","Ib","38"
"SN1985F","1985/02/28","Ib","38"
"SN2001ej","2001/09/17","Ib","37"
"SN2006ir","2006/09/23","Ib/c","37"
"SN2012dj","2012/07/01","Ib/c","37"
"PS15cjr","2015/10/12","IIb","35"
"OGLE-2014-SN-014","2014/02/05","Ib","34"
"SN2005eo","2005/09/27","Ia","33"
"SN2006bf","2006/03/27","IIb","32"
"SN2008cw","2008/06/01","IIb","32"
"OGLE15rb","2015/11/14","Ic","32"
"OGLE15xx","2015/12/29","Ic Pec","32"
"OGLE-2013-SN-134","2013/12/10","Ic","31"
"SN2006ba","2006/03/19","II","30"
"Gaia16afy","2016/02/24","BL","30"
"SN2000H","2000/02/07","IIb","29"
"SN2008iu","2008/10/30","Ic","29"
"SN2007nm","2007/10/08","Ic","28"
"SN2010cn","2010/05/04","Ib","28"
"DES16S1kt","2016/08/25","IIb","28"
"OGLE-2013-SN-091","2013/10/10","Ic","26"
"SDSS-II SN 12081","2005/09/12","Ib/c","25"
"PS15bgt","2015/07/10","IIB?","25"
"SN1984L","1984/08/28","Ib","25"
"SN1987M","1987/09/21","Ic","25"
"SN2000C","2000/01/08","Ic","24"
"OGLE15jy","2015/09/28","Ib/c?","24"
"SN1992ar","1992/07/27","Ic","23"
"SN2007hb","2007/08/24","Ic","23"
"OGLE15vk","2015/11/28","Ic","23"
"SN2011ep","2011/04/14","Ic","22"
"SN2009nh","2009/11/26","Ic","21"
"SN2011hg","2011/10/28","IIb","21"
"SN2014eh","2014/11/03","Ic","21"
"SN1996bx","1996/11/18","Ia","20"
"SN1997X","1997/02/01","Ib","20"
"SN2001gd","2001/11/24","IIb","20"
"SN2009de","2009/01/02","Ic","20"
"CSS140505:143511+134946","2014/05/05","Ic-lum?","20"
"SN2012P","2012/01/22","Ib/c","20"
"SN2016avh","2016/02/28","IIb","20"
"SN2004ff","2004/10/30","IIb","19"
"SN2004ge","2004/11/17","Ic","19"
"SN2007ke","2007/09/24","Ib","19"
"SN2011bl","2011/04/05","Ib/c","19"
"PS15cvn","2015/11/07","Ic","19"
"SN1991D","1991/02/06","Ib","18"
"SN2006cb","2006/05/05","Ib","18"
"Gaia14aam","2014/09/18","Ib/c","18"
"SN2013el","2013/07/11","Ib Pec","18"
"SN2016dsl","2016/02/24","Ib/c","18"
"SN1998T","1998/03/03","Ib","17"
"SN2010et","2010/06/16","Ib-Ca","17"
"PS15axw","2015/06/25","Ic","17"
"SN2016aws","2016/03/06","Ib","17"
"SN2004gv","2004/12/13","Ib","16"
"SN2009K","2009/01/14","II","16"
"SN2013cq","2013/04/27","Ic BL","16"
"PSN J22411479-2147421","2015/09/06","Ib","16"
"SN2016bau","2016/03/13","Ib","16"
"SN2016dyn","2016/05/06","Ic","16"
"SN1999bw","1999/04/20","IIn?","15"
"SN1999cq","1999/06/25","Ib/c","15"
"SN2007aw","2007/03/22","Ic","15"
"SN2008hh","2008/11/19","Ic","15"
"SN2011cs","2011/04/27","Ic","15"
"CSS150120:095828+411135","2015/01/20","IIb","15"
"SN2016dsb","2016/02/16","IIb","15"
"SN1997dq","1997/11/02","Ic","14"
"CSS121210:112615+144039","2012/12/10","Ic","14"
"SN2016cce","2016/04/29","Ic","14"
"SN2016cgq","2016/04/29","IIb","14"
"SN1991N","1991/03/29","Ic","13"
"SN2000F","2000/01/29","Ic","13"
"SN2002ji","2002/11/30","Ib","13"
"SN2008an","2008/02/24","Ic","13"
"SN2009ar","2009/02/19","II","13"
"SN2009gj","2009/06/20","II","13"
"SN2011bv","2011/03/30","IIb","13"
"PS15bhi","2015/07/14","Ib","13"
"SN2016bir","2016/03/18","Ib","13"
"SN2016bll","2016/03/31","Ib","13"
"SN2016ejf","2016/07/25","Ib/c","13"
"SN2006ab","2006/02/09","Ic","12"
"SN2009di","2009/03/21","Ic","12"
"CSS141005:022316-070520","2014/09/30","Ic","12"
"SN2013bk","2013/04/07","Ic","12"
"CSS160904:230721+025428","2016/09/04","Ia-02ic-like","12"
"PS15bap","2015/06/29","Ic","12"
"SN2015K","2015/04/25","Ic","12"
"SN2016bke","2016/03/20","Ib","12"
"SN1999dn","1999/08/19","Ib","11"
"SN2000er","2000/11/23","Ibn","11"
"SN2009nf","2009/11/11","II","11"
"SN2009nl","2009/10/23","Ic","11"
"CSS140925:005854+181322","2014/09/25","SLSN-I","11"
"SN2015Q","2015/06/17","Ib","11"
"SN2016U","2016/01/04","IIb","11"
"SN1997ei","1997/12/23","Ic","10"
"SN2000ew","2000/11/28","Ic","10"
"SN2010lz","2010/12/03","Ic","10"
"SN2010S","2010/01/16","Ic","10"
"SN2016M","2016/01/15","IIb","10"
"SN2000dt","2000/10/13","Ib","9"
"SN2001ch","2001/05/28","Ic","9"
"SN2002eg","2002/07/26","II","9"
"SN2002jp","2002/11/23","Ic","9"
"PS15bqc","2015/08/06","IIb","9"
"PS15bvb","2015/08/30","Ib/IIb","9"
"SN2002bl","2002/03/02","Ic","8"
"SN2003L","2003/01/12","Ic","8"
"SN2008dc","2008/04/06","Ib/c","8"
"CSS120914:215710+055647","2012/09/14","Ic","8"
"LSQ13cum","2013/11/03","Ib","8"
"SN2010P","2010/01/18","Ib/IIb","8"
"SN2012F","2012/01/04","Ib","8"
"ASASSN-15ed","2015/03/01","Ibn","8"
"CSS150325:140426+514417","2015/03/25","Ic","8"
"PSN J20580766-5147074","2015/02/22","Ib","8"
"SN1995F","1995/02/14","Ib","7"
"SN2001ai","2001/03/28","Ib","7"
"SN2001is","2001/12/22","Ib","7"
"SN2002au","2002/02/08","IIb","7"
"SN2012dy","2012/08/03","II","7"
"SN2013bn","2013/04/15","Ic","7"
"SN2015Y","2015/04/11","Ib","7"
"SN2016bkj","2016/03/20","Ib","7"
"SN2016bmd","2016/04/12","IIb","7"
"SN2016eld","2016/07/27","Ic","7"
"SN2001dq","2001/08/14","Ic","6"
"SN2002cj","2002/04/21","Ic","6"
"SN2010ay","2010/03/17","Ic BL","6"
"SN2011cb","2011/04/29","IIb","6"
"SN2014L","2014/01/26","Ic","6"
"Gaia15aam","2015/01/08","Ib/c","6"
"SN2016dzl","2016/05/09","Ib","6"
"SN2016emb","2016/07/28","Ic","6"
"SN2000de","2000/08/10","Ib","5"
"SN2000ds","2000/10/10","Ib","5"
"SN2001ad","2001/03/11","II","5"
"SN2001bb","2001/04/29","Ic","5"
"SN2001ci","2001/04/25","Ic","5"
"SN2001ef","2001/09/09","Ic","5"
"SN2001eq","2001/09/12","Ic","5"
"SN2002ho","2002/11/05","Ic","5"
"SN2003bp","2003/03/06","Ib","5"
"SN2009mi","2009/12/12","Ic","5"
"PS16ccd","2016/04/02","Ic","5"
"SN2015bi","2015/12/31","IIb","5"
"SN2016dst","2016/02/23","Ic BL","5"
"SN2016exv","2016/08/09","IIb","5"
"SN2016fhn","2016/08/21","Ic","5"
"SN2016fxu","2016/08/27","Ic","5"
"SN2016Q","2016/01/07","Ib","5"
"SN1998cc","1998/05/15","Ib","4"
"SN1999ec","1999/10/02","Ia/c","4"
"SN2000dv","2000/10/17","Ib","4"
"SN2001cf","2001/05/26","II","4"
"SN2001co","2001/06/11","Ib/c","4"
"SN2001eg","2001/08/29","Ia","4"
"SN2001em","2001/09/20","Ic","4"
"SN2002cp","2002/04/28","Ib/c","4"
"SN2002dt","2002/06/26","Ib/c","4"
"SN2002ex","2002/08/19","Ic","4"
"SN2002hf","2002/10/29","Ic","4"
"SN2002hy","2002/11/12","Ib Pec","4"
"SN2009ny","2009/10/20","Ib","4"
"CSS130508:102149+414425","2013/05/08","Ib Pec","4"
"iPTF13efs","2013/12/11","II","4"
"SN2011aw","2011/03/09","Ib/c","4"
"SN2012gh","2012/10/26","Ic","4"
"SN2013co","2013/05/06","Ic","4"
"SN2014bl","2014/05/20","Ic","4"
"Gaia16asl","2016/06/14","blue","4"
"PS1-12bll","2016/07/16","Blazer","4"
"SN2016dsg","2016/02/21","Ic BL","4"
"SN2016ghi","2016/09/13","Ic","4"
"SN1998dt","1998/09/01","Ib","3"
"SN1998ey","1998/12/05","Ic","3"
"SN2000fn","2000/12/17","Ib","3"
"SN2001ih","2001/12/10","II","3"
"SN2001ii","2001/12/11","Ic","3"
"SN2002cg","2002/04/13","Ic","3"
"SN2002cw","2002/05/16","Ib","3"
"SN2002dg","2002/05/31","Ib","3"
"SN2002dn","2002/06/15","Ic","3"
"SN2002dz","2002/07/16","Ib/c","3"
"SN2002gz","2002/10/15","Ic","3"
"SN2002hn","2002/11/05","Ic","3"
"SN2002hz","2002/11/16","Ib","3"
"SN2002J","2002/01/21","Ic","3"
"SN2002jj","2002/12/03","Ic","3"
"SN2002jz","2002/12/23","Ic","3"
"SN2003bm","2003/03/02","Ic","3"
"SN2003bu","2003/03/11","Ic","3"
"SN2003cr","2003/03/31","Ic","3"
"SN2003H","2003/01/08","Ib Pec","3"
"PS1-14od","2014/02/25","IIb","3"
"SN2010Q","2010/01/15","Ic","3"
"SN2010R","2010/01/15","Ia","3"
"PS15ze","2015/02/16","II","3"
"PSN J18285823+2254106","2015/05/12","IIb","3"
"SN2016coi","2016/05/27, 2016/05/27","Ic BL","3"
"SN2016cyj","2016/06/26","IIn","3"
"SN2016G","2016/01/09","Ic BL","3"
"SN2002bm","2002/03/06","Ic","2"
"SN2002gy","2002/10/16","Ib/c","2"
"SN2003I","2003/01/09","Ib","2"
"CSS140222:141104+253050","2014/02/22","Ib","2"
"PS1-14qg","2014/02/27","Ib","2"
"PS1-14xo","2014/01/16","Ic","2"
"SN2011it","2011/11/27","Ic","2"
"SN2012cw","2012/06/14","Ic","2"
"SN2016adj","2016/02/08","IIb","2"
"SN2016ajo","2016/02/20","Ib","2"
"SN2016bas","2016/03/12","IIb","2"
"SN2016bhr","2016/03/17","IIb","2"
"SN2016blq","2016/03/12","II","2"
"SN2016blt","2016/04/04","IIb","2"
"SN2016cdd","2016/05/14","Ib","2"
"SN2016frp","2016/08/27","Ib Pec","2"
"SN2016gcm","2016/09/08","Ic","2"
"SN2016glo","2016/09/22","Ib/c","2"
"SN2016P","2016/01/19","Ic BL","2"
"SN1990aa","1990/09/04","Ic","1"
"SN1990ai","1990/11/26","Ib/c","1"
"SN1990aj","1990/12/18","Ia/c","1"
"SN1990U","1990/08/02","Ib","1"
"SN1990W","1990/08/19","Ib/c","1"
"SN1991A","1991/01/01","Ic","1"
"SN1991ar","1991/09/02","Ib","1"
"SN1991K","1991/12/15","Ia","1"
"SN1991L","1991/02/24","Ib/c","1"
"SN1991R","1991/04/09","Ib/c","1"
"SN1992bu","1992/03/09","Ib/c?","1"
"SN1993P","1993/05/18","Ic","1"
"SN1994ai","1994/12/20","Ic","1"
"SN1996aq","1996/08/17","Ic","1"
"SN1996at","1996/09/15","Ic","1"
"SN1996cd","1996/12/16","Ib/c","1"
"SN1996D","1996/02/09","Ic","1"
"SN1996N","1996/03/12","Ib","1"
"SN1997B","1997/01/13","Ic","1"
"SN1997C","1997/01/13","Ia","1"
"SN1997dc","1997/08/05","Ib","1"
"SN1997dd","1997/08/20","IIb","1"
"SN1997dh","1997/10/20","Ic","1"
"SN1997ew","1997/12/28","II/Ic","1"
"SN1998bo","1998/04/22","Ic","1"
"SN1998cv","1998/06/24","Ic","1"
"SN1998fa","1998/12/25","IIb","1"
"SN1999ah","1999/02/13","Ic","1"
"SN1999al","1999/02/21","Ic","1"
"SN1999as","1999/02/18","Ic","1"
"SN1999ay","1999/03/21","II","1"
"SN1999bc","1999/02/19","Ic","1"
"SN1999bu","1999/04/16","Ic","1"
"SN1999bv","1999/04/19","Ia","1"
"SN1999bz","1999/05/01","Ic","1"
"SN1999cn","1999/06/14","Ic","1"
"SN1999cz","1999/06/21","Ic","1"
"SN1999di","1999/08/08","Ib","1"
"SN1999eh","1999/10/12","Ib","1"
"SN1999P","1999/01/13","Ib/c","1"
"SN2000S","2000/02/28","Ic","1"
"SN2001fw","2001/11/11","Ib","1"
"SN2001fx","2001/11/08","Ib","1"
"SN2001gl","2001/04/15","Ib/c","1"
"SN2001im","2001/11/21","II","1"
"SN2001M","2001/01/21","Ic","1"
"SN2002ao","2002/01/25","Ic","1"
"SN2002cl","2002/04/07","Ic","1"
"SN2002fh","2002/05/09","Ic","1"
"SN2002if","2002/10/29","Ic","1"
"SN2002lt","2002/12/11","Ic","1"
"SN2003A","2003/01/03","Ib/c","1"
"SN2003aa","2003/01/31","Ia","1"
"SN2003ac","2003/01/07","II","1"
"SN2003dg","2003/04/08","Ib/c","1"
"SN2003dr","2003/04/13","Ib/c","1"
"SN2003ds","2003/04/14","Ic","1"
"SN2003ed","2003/05/03","II","1"
"SN2003el","2003/05/22","Ic","1"
"SN2003ev","2003/06/01","Ic","1"
"SN2003fc","2003/06/05","Ic","1"
"SN2003gf","2003/06/24","Ic","1"
"SN2003gk","2003/07/01","Ib","1"
"SN2003gu","2003/08/03","II","1"
"SN2003hp","2003/08/25","Ic","1"
"SN2003id","2003/09/16","Ic","1"
"SN2003ig","2003/09/22","Ic","1"
"SN2003ih","2003/09/15","Ib/c","1"
"SN2003is","2003/10/14","Ic","1"
"SN2003jg","2003/10/24","Ib/c","1"
"SN2003jp","2003/10/22","Ib/c","1"
"SN2003kb","2003/11/18","Ic","1"
"SN2003ki","2003/11/28","II","1"
"SN2003lw","2003/12/15","Ic BL","1"
"SN2004af","2004/02/18","Ic","1"
"SN2004ai","2004/02/18","Ic","1"
"SN2004ax","2004/03/21","Ib/c","1"
"SN2004bf","2004/04/07","Ic","1"
"SN2004bi","2004/04/13","II","1"
"SN2004bm","2004/04/25","Ic","1"
"SN2004bs","2004/05/16","Ib","1"
"SN2004bu","2004/05/18","Ic","1"
"SN2004C","2004/01/12","Ic","1"
"SN2004cc","2004/06/10","Ic","1"
"SN2004cf","2004/05/14","Ib/c","1"
"SN2004dc","2004/06/29","Ic","1"
"SN2004dm","2004/07/14","Ib","1"
"SN2004dx","2004/08/19","Ic","1"
"SN2004eh","2004/09/08","Ib","1"
"SN2004eu","2004/10/06","Ic","1"
"SN2004ew","2004/10/08","Ib","1"
"SN2004ex","2004/10/11","II","1"
"SN2004gj","2004/11/23","II","1"
"SN2004gn","2004/12/01","Ic","1"
"SN2004ib","2004/10/08","Ic","1"
"PSN J14393321+0546366","2006/05/20","Ib Pec","1"
"SN2005ae","2005/02/01","II","1"
"SN2005aj","2005/02/18","Ic","1"
"SN2005ar","2005/03/10","Ib","1"
"SN2005at","2005/03/05","Ic","1"
"SN2005aw","2005/03/24","Ic","1"
"SN2005bb","2005/04/01","II","1"
"SN2005bh","2005/04/10","Ic","1"
"SN2005bj","2005/04/11","Ic","1"
"SN2005bk","2005/04/02","Ic","1"
"SN2005bq","2005/04/17","Ic","1"
"SN2005br","2005/03/28","Ib","1"
"SN2005C","2005/01/11","Ib","1"
"SN2005cb","2005/05/13","Ic","1"
"SN2005ce","2005/05/28","Ib/c","1"
"SN2005ct","2005/07/01","Ic","1"
"SN2005cz","2005/07/17","Ib","1"
"SN2005D","2005/01/13","II","1"
"SN2005da","2005/07/18","Ic BL","1"
"SN2005dg","2005/08/05","Ic","1"
"SN2005E","2005/01/13","Ib/c","1"
"SN2005lr","2005/12/04","Ic","1"
"SN2005md","2005/12/25","CV","1"
"SN2005N","2005/01/19","Ib/c","1"
"SN2005nc","2005/05/30","Ic","1"
"SN2005O","2005/01/16","Ib","1"
"SN2005U","2005/01/30","IIb","1"
"SN2005V","2005/01/30","Ib/c","1"
"SN2006dg","2006/06/17","Ic","1"
"SN2006dj","2006/06/05","Ib","1"
"SN2006dk","2006/06/25","II","1"
"SN2006dl","2006/06/29","II","1"
"SN2006ea","2006/07/25","Ib","1"
"SN2006ec","2006/08/04","Ib","1"
"SN2006eg","2006/08/20","Ib/c","1"
"SN2006ei","2006/08/21","Ic","1"
"SN2006G","2006/01/13","II/IIb","1"
"SN2006ip","2006/09/21","Ib/c","1"
"SN2006iv","2006/10/05","II","1"
"SN2006li","2006/10/28","Ib","1"
"SN2006lt","2006/10/11","Ib","1"
"SN2006qp","2006/11/25","II","1"
"SN2006sg","2006/11/14","Ic","1"
"SN2006ss","2006/12/17","II","1"
"SN2006tq","2006/12/17","Ic","1"
"SN2007ay","2007/03/22","II","1"
"SN2007az","2007/03/06","Ib","1"
"SN2007br","2007/04/04","Ib","1"
