"Name","Disc. Date","Type","Phot."
"SN2009lj","2009/11/13","Ic","1"
"SN2000F","2000/01/29","Ic","13"
"SN2005em","2005/09/27","Ic","80"
"SN2009hh","2009/07/10","Ic","1"
"PS1-11bdy","2011","Ic",""
"LSQ12fnt","2012/10/20","Ic","1"
"DES13C1feu","2013/09/15","Ic","1"
"SN2006nx","2006/11/01","Ic","45"
"SN1983V","1983/11/25","Ic","14"
"SN2012fn","2012/10/07","Ic","1"
"SN2008ik","2008/12/17","Ic","1"
"PTF10svt","2010/08/21","Ic","1"
"SN2008dv","2008/07/01","Ic","1"
"PS1-10biv","2010","Ic",""
"DES13C2bxd","2013/08/31","Ic","1"
"MLS101113:033911+225352","2010/11/13","Ic","1"
"SN2009nl","2009/10/23","Ic","1"
"LSQ14ds","2014/01/08","Ic","1"
"SN2012gu","2012/10/25","Ic","1"
"SN2005dg","2005/08/05","Ic","1"
"SN2003ig","2003/09/22","Ic","1"
"SN2016iae","2016/11/07","Ic","12"
"LSQ12gbz","2012/11/06","Ic","1"
"SN2007rz","2007/12/08","Ic","43"
"SN1996D","1996/02/09","Ic","1"
"SN2008iu","2008/10/30","Ic","1"
"SN2001ef","2001/09/09","Ic","4"
"LSQ13der","2013/11/28","Ic","1"
"SN2010X","2010/02/07","Ic","16"
"SN2012at","2012/02/15","Ic","1"
"OGLE-2014-SN-067","2014/08/15","Ic","48"
"LSQ12emi","2012/08/21","Ic","1"
"LSQ12gkk","2012/11/13","Ic","1"
"OGLE15rb","2015/11/14","Ic","26"
"SN2009je","2009/09/17","Ic","1"
"SN2004af","2004/02/18","Ic","1"
"ASASSN-15um","2015/12/28","Ic","1"
"OGLE-2013-SN-091","2013/10/10","Ic","26"
"SN2011N","2011/01/20","Ic","1"
"SN2009mi","2009/12/12","Ic","5"
"SN1997B","1997/01/13","Ic","1"
"PSN J06120295-2149353","2014/01/20","Ic","1"
"OGLE-2013-SN-134","2013/12/10","Ic","31"
"SN2003kb","2003/11/18","Ic","1"
"SN2012ej","2012/08/22","Ic","1"
"SN2012Q","2012/01/14","Ic","1"
"SN2004ge","2004/11/17","Ic","19"
"SN2005lr","2005/12/04","Ic","5"
"SN2000C","2000/01/08","Ic","24"
"SN2011bh","2011/03/29","Ic","1"
"SN2005kf","2005/11/11","Ic","42"
"SN2003bm","2003/03/02","Ic","3"
"SN2002lt","2002/12/11","Ic","1"
"SN2002hn","2002/11/05","Ic","3"
"SN2008hn","2008/11/25","Ic","1"
"SN1999bc","1999/02/19","Ic","1"
"SN2013bv","2013/04/09","Ic","1"
"PS1-11azy","2011","Ic",""
"SN2010io","2010/09/30","Ic","1"
"SN2010jw","2010/11/14","Ic","1"
"SN1987M","1987/09/21","Ic","25"
"SN2005mf","2005/12/25","Ic","211"
"SN2009nh","2009/11/26","Ic","1"
"SN2013ff","2013/08/31","Ic","1"
"SN1999as","1999/02/18","Ic","1"
"SN2012C","2012/01/04","Ic","1"
"SN2013bk","2013/04/07","Ic","12"
"SN2017dgk","2017/04/21","Ic","2"
"SN2007aw","2007/03/22","Ic","15"
"SN2001ci","2001/04/25","Ic","13"
"SN2002bl","2002/03/02","Ic","8"
"PS15ckn","2015/10/14","Ic",""
"SN2012cw","2012/06/14","Ic","2"
"SN2003ds","2003/04/14","Ic","1"
"SN2009jy","2009/10/14","Ic","1"
"SN2001M","2001/01/21","Ic","4"
"SN2010Q","2010/01/15","Ic","1"
"SN2013ge","2013/11/08","Ic","381"
"SN2000S","2000/02/28","Ic","1"
"SN2002jp","2002/11/23","Ic","9"
"SN1991N","1991/03/29","Ic","12"
"ASASSN-14de","2014/06/23","Ic","1"
"SN2011jl","2011/11/27","Ic","1"
"SN2012fh","2012/10/18","Ic","0"
"SN2003aa","2003/01/31","Ic","1"
"SN2010bf","2010/02/24","Ic","1"
"SN2013hv","2013/11/18","Ic","1"
"SN2004bm","2004/04/25","Ic","4"
"SN2002J","2002/01/21","Ic","2"
"SN2012hf","2012/11/22","Ic","1"
"SN2003L","2003/01/12","Ic","8"
"SN1999al","1999/02/21","Ic","1"
"SN2013J","2013/01/19","Ic","1"
"SN2007db","2007/04/04","Ic","1"
"SNF20080324-001","2008/03/24","Ic","1"
"CSS121210:112615+144039","2012/12/10","Ic","1"
"SN2005bh","2005/04/10","Ic","1"
"LSQ15cj","2014/12/24","Ic","1"
"SN2015bn","2015/02/15","Ic","885"
"SN2017dio","2017/04/26","Ic","3"
"SN2009di","2009/03/21","Ic","1"
"SN1999bu","1999/04/16","Ic","1"
"SN1997dq","1997/11/02","Ic","15"
"SN2000ew","2000/11/28","Ic","10"
"SN2014ar","2014/04/18","Ic","1"
"SN2017rt","2017/01/10","Ic","18"
"SN2013bn","2013/04/15","Ic","1"
"LSQ13abf","2013/04/15","Ic","1"
"SN2017cjd","2017/03/19","Ic","2"
"SN1964L","1964/12/11","Ic","61"
"SN2017ein","2017/05/25","Ic","18"
"PSN J11534177-5406168","2013/03/10","Ic","1"
"SN1991A","1991/01/01","Ic","1"
"SN1997ei","1997/12/23","Ic","11"
"SN2017ddc","2017/04/11","Ic","3"
"SN2004aw","2004/03/19","Ic","259"
"SN2004gt","2004/12/12","Ic","114"
"SN2013dk","2013/06/22","Ic","22"
"SN1983I","1983/05/11","Ic","39"
"SN2011cs","2011/04/27","Ic","1"
"SN1999ah","1999/02/13","Ic","1"
"SN2002ho","2002/11/05","Ic","5"
"PTF10gvb","2010","Ic",""
"SN2011hp","2011/11/03","Ic","1"
"SN2014L","2014/01/26","Ic","6"
"PS1-11jk","2011","Ic",""
"SN2005kl","2005/11/22","Ic","202"
"SN2009bh","2009/03/17","Ic","1"
"SN2004gk","2004/11/25","Ic","274"
"SN2009np","2009/12/15","Ic","1"
"LSQ14gs","2014/01/16","Ic","3"
"SN2002bm","2002/03/06","Ic","1"
"SN2011ca","2011/04/26","Ic","1"
"PTF10bip","2010/01/01","Ic",""
"SN2004gn","2004/12/01","Ic","1"
"SN1990B","1990/01/20","Ic","96"
"PSN J12393328+1525520","2013/02/22","Ic","1"
"SN2011jm","2011/12/24","Ic","1"
"PTF10bhu","2010/01/01","Ic",""
"SN2013co","2013/05/06","Ic","1"
"SN2011bm","2011/04/04","Ic","309"
"LSQ14ayl","2014/04/09","Ic","1"
"SN2009de","2009/01/02","Ic","1"
"SN2005az","2005/03/28","Ic","159"
"SN2006ck","2006/05/20","Ic","69"
"SN2003el","2003/05/22","Ic","1"
"SN2003ev","2003/06/01","Ic","1"
"SN1999cz","1999/06/21","Ic","2"
"PTF11ixk","2011/07/24","Ic","1"
"SN2014bl","2014/05/20","Ic","1"
"SMT J13254308-2932269","2015/03/19","Ic",""
"SN2002fh","2002/05/09","Ic","1"
"SN1993P","1993/05/18","Ic","1"
"SN1994I","1994/04/02","Ic","372"
"SN2016cce","2016/04/29","Ic","15"
"SN2001bb","2001/04/29","Ic","5"
"SN2002cl","2002/04/07","Ic","1"
"SN2004bf","2004/04/07","Ic","1"
"SN2004ai","2004/02/18","Ic","1"
"SN2010do","2010/06/01","Ic","1"
"SN2016P","2016/01/19","Ic","1"
"SN2010ac","2010/02/13","Ic","1"
"SN2000cr","2000/06/25","Ic","42"
"SN2003bu","2003/03/11","Ic","2"
"PTF10acbu","2010/10/03","Ic","1"
"SN2014as","2014/04/18","Ic","1"
"SN1999bz","1999/05/01","Ic","2"
"SN2010gk","2010/07/17","Ic","1"
"CSS150325:140426+514417","2015/03/25","Ic","1"
"SN2005bq","2005/04/17","Ic","1"
"PS1-10ih","2010","Ic",""
"PS1-10kn","2010","Ic",""
"SN1996aq","1996/08/17","Ic","1"
"SN2002ao","2002/01/25","Ic","1"
"GRB 080319B","2008/03/19","Ic",""
"SN2011kf","2011/12/30","Ic","47"
"SN2017eye","2017/06/22","Ic","4"
"SN2012aa","2012/01/25","Ic","1"
"SN2003cr","2003/03/31","Ic","2"
"SN1999cn","1999/06/14","Ic","1"
"iPTF14dby","2014","Ic",""
"SN2002cj","2002/04/21","Ic","6"
"SN2012ba","2012/01/21","Ic","1"
"ASASSN-15no","2015/08/03","Ic","1"
"LSQ12bph","2012/04/01","Ic","1"
"SN2009gd","2009/06/09","Ic","1"
"SN2007ea","2007/05/17","Ic","1"
"SN2004bu","2004/05/18","Ic","1"
"SN2010mb","2010/04/10","Ic","1"
"SN2005bk","2005/04/02","Ic","1"
"PTF09dzt","2009/01/01","Ic",""
"SN2008dq","2008/06/25","Ic","1"
"SN2010ak","2010/03/11","Ic","1"
"SN2012bw","2012/04/22","Ic","1"
"SN2009ki","2009/06/14","Ic","1"
"SN2002cg","2002/04/13","Ic","2"
"SN2001dq","2001/08/14","Ic","5"
"SN2008fo","2008/08/07","Ic","1"
"SN2012gh","2012/10/26","Ic","1"
"SN2005bj","2005/04/11","Ic","1"
"SN2008ew","2008/08/10","Ic","1"
