CMDLINE python fitcfalc_simple.py
MEM 289.492188 1443278204.3062
MEM 359.054688 1443278204.4154
MEM 543.628906 1443278204.5226
MEM 468.941406 1443278204.6326
MEM 607.203125 1443278204.7481
MEM 726.855469 1443278204.8574
MEM 922.085938 1443278204.9718
MEM 842.839844 1443278205.0811
MEM 799.445312 1443278205.1913
MEM 882.621094 1443278205.3035
MEM 794.574219 1443278205.4199
MEM 870.183594 1443278205.5341
MEM 1024.472656 1443278205.7127
MEM 1048.683594 1443278205.8234
MEM 1167.445312 1443278205.9373
MEM 550.417969 1443278206.0505
MEM 513.574219 1443278206.1639
MEM 518.265625 1443278206.2773
MEM 523.613281 1443278206.3851
MEM 648.695312 1443278206.5008
MEM 764.753906 1443278206.6128
MEM 957.515625 1443278206.7232
MEM 1088.058594 1443278206.8401
MEM 1026.488281 1443278206.9487
MEM 940.171875 1443278207.0575
MEM 1016.609375 1443278207.1684
MEM 900.691406 1443278207.2769
MEM 936.757812 1443278207.3847
MEM 1057.820312 1443278207.4966
MEM 1276.011719 1443278207.6394
MEM 1155.472656 1443278207.7484
MEM 1328.832031 1443278207.8576
MEM 961.593750 1443278207.9650
MEM 585.003906 1443278208.0787
MEM 589.703125 1443278208.1888
MEM 582.394531 1443278208.2993
MEM 703.613281 1443278208.4102
MEM 838.097656 1443278208.5205
MEM 992.832031 1443278208.6300
MEM 1059.285156 1443278208.7466
MEM 1221.394531 1443278208.8587
MEM 1361.847656 1443278208.9748
MEM 1423.980469 1443278209.0861
MEM 1384.261719 1443278209.2043
MEM 1308.355469 1443278209.3200
MEM 1228.769531 1443278209.4469
MEM 1175.234375 1443278209.5632
MEM 1118.160156 1443278209.6774
MEM 1046.105469 1443278209.7870
MEM 974.957031 1443278209.8997
MEM 974.324219 1443278210.0191
MEM 1053.703125 1443278210.1397
MEM 992.375000 1443278210.2561
MEM 974.371094 1443278210.3680
MEM 1016.144531 1443278210.4801
MEM 1060.093750 1443278210.5909
MEM 1104.683594 1443278210.6995
MEM 1147.339844 1443278210.8115
MEM 1191.011719 1443278210.9228
MEM 1243.539062 1443278211.0329
MEM 1311.007812 1443278211.1448
MEM 925.062500 1443278211.2556
MEM 1085.277344 1443278211.3672
MEM 1245.515625 1443278211.4805
MEM 906.773438 1443278211.5915
MEM 993.972656 1443278211.7022
MEM 1096.425781 1443278211.8148
MEM 1195.511719 1443278211.9235
MEM 1286.542969 1443278212.0338
MEM 907.378906 1443278212.1429
MEM 952.667969 1443278212.2518
MEM 992.128906 1443278212.3638
MEM 1105.109375 1443278212.4731
MEM 1256.238281 1443278212.5858
MEM 1408.867188 1443278212.6998
MEM 1433.316406 1443278212.8176
MEM 1434.144531 1443278212.9311
MEM 1475.570312 1443278213.1608
MEM 1398.882812 1443278213.2782
MEM 1294.000000 1443278213.4184
MEM 1085.750000 1443278213.5327
MEM 1128.449219 1443278213.6405
MEM 1262.175781 1443278213.7515
MEM 1368.234375 1443278213.8701
MEM 1416.199219 1443278213.9897
MEM 1402.175781 1443278214.1106
MEM 1396.523438 1443278214.2212
MEM 969.335938 1443278214.3315
MEM 557.421875 1443278214.4427
MEM 125.398438 1443278214.5551
MEM 151.011719 1443278214.6682
MEM 160.589844 1443278214.7848
MEM 191.257812 1443278214.8935
MEM 327.660156 1443278215.0037
MEM 457.906250 1443278215.1141
MEM 534.039062 1443278215.2241
MEM 696.957031 1443278215.3336
MEM 866.222656 1443278215.4446
MEM 1042.027344 1443278215.5527
MEM 987.828125 1443278215.6650
MEM 922.402344 1443278215.7753
MEM 1074.152344 1443278215.8865
MEM 838.488281 1443278215.9964
MEM 937.656250 1443278216.1083
MEM 1031.621094 1443278216.2154
MEM 987.832031 1443278216.3301
MEM 832.703125 1443278216.4409
MEM 919.015625 1443278216.5498
MEM 1076.773438 1443278216.6661
MEM 1170.171875 1443278216.8384
MEM 1347.742188 1443278216.9987
MEM 1218.644531 1443278217.1055
MEM 1374.960938 1443278217.2131
MEM 1514.941406 1443278217.3295
MEM 1078.722656 1443278217.4414
MEM 258.644531 1443278217.5524
MEM 266.191406 1443278217.6626
MEM 266.191406 1443278217.7723
MEM 288.835938 1443278217.8826
MEM 436.890625 1443278217.9979
MEM 550.394531 1443278218.1092
MEM 670.042969 1443278218.2179
MEM 822.535156 1443278218.3302
MEM 1001.816406 1443278218.4421
MEM 1193.121094 1443278218.5481
MEM 968.925781 1443278218.6614
MEM 1048.417969 1443278218.7682
MEM 1203.257812 1443278218.8780
MEM 954.558594 1443278218.9923
MEM 1041.734375 1443278219.1030
MEM 1112.164062 1443278219.2119
MEM 1201.472656 1443278219.3230
MEM 911.347656 1443278219.4339
MEM 951.375000 1443278219.5442
MEM 1092.316406 1443278219.6571
MEM 1253.511719 1443278219.7669
MEM 1281.144531 1443278219.8820
MEM 1318.351562 1443278220.0585
MEM 1311.167969 1443278220.1771
MEM 1479.558594 1443278220.2836
MEM 1604.925781 1443278220.4441
MEM 1626.613281 1443278220.5550
MEM 1633.429688 1443278220.6746
MEM 1310.792969 1443278220.7851
MEM 348.574219 1443278220.8945
MEM 326.980469 1443278221.0049
MEM 331.878906 1443278221.1157
MEM 321.246094 1443278221.2227
MEM 483.875000 1443278221.3329
MEM 584.082031 1443278221.4455
MEM 739.347656 1443278221.5591
MEM 912.238281 1443278221.6663
MEM 1099.156250 1443278221.7780
MEM 1198.828125 1443278221.8899
MEM 945.503906 1443278222.0031
MEM 1077.527344 1443278222.1153
MEM 1070.828125 1443278222.2372
MEM 954.792969 1443278222.3468
MEM 1016.796875 1443278222.4576
MEM 1093.480469 1443278222.5692
MEM 1169.421875 1443278222.6774
MEM 906.539062 1443278222.7874
MEM 954.027344 1443278222.9102
MEM 1105.910156 1443278223.0211
MEM 1247.671875 1443278223.1324
MEM 1251.296875 1443278223.2433
MEM 1357.195312 1443278223.3892
MEM 1281.281250 1443278223.5000
MEM 1419.109375 1443278223.6121
MEM 1538.324219 1443278223.7322
MEM 1555.074219 1443278223.8467
MEM 1277.207031 1443278223.9583
MEM 563.128906 1443278224.0683
MEM 382.562500 1443278224.1794
MEM 388.195312 1443278224.2907
MEM 344.359375 1443278224.3996
MEM 466.699219 1443278224.5092
MEM 585.687500 1443278224.6211
MEM 764.097656 1443278224.7398
MEM 717.410156 1443278224.8505
MEM 686.050781 1443278224.9628
MEM 636.097656 1443278225.0719
MEM 682.734375 1443278225.1845
MEM 885.835938 1443278225.3240
MEM 814.515625 1443278225.4371
MEM 945.859375 1443278225.5450
MEM 409.980469 1443278225.6583
MEM 416.585938 1443278225.7687
MEM 416.585938 1443278225.8762
MEM 456.394531 1443278225.9841
MEM 565.914062 1443278226.0968
MEM 741.660156 1443278226.2078
MEM 733.179688 1443278226.3165
MEM 720.050781 1443278226.4300
MEM 814.878906 1443278226.5394
MEM 728.664062 1443278226.6494
MEM 934.191406 1443278226.7928
MEM 893.843750 1443278226.9047
MEM 878.562500 1443278227.0206
MEM 477.597656 1443278227.1334
MEM 484.187500 1443278227.2423
MEM 476.722656 1443278227.3558
MEM 557.046875 1443278227.4649
MEM 682.898438 1443278227.5795
MEM 869.835938 1443278227.6851
MEM 831.394531 1443278227.7956
MEM 807.656250 1443278227.9069
MEM 769.535156 1443278228.0182
MEM 828.582031 1443278228.1292
MEM 929.390625 1443278228.2717
MEM 1019.628906 1443278228.3865
MEM 944.386719 1443278228.4993
MEM 545.316406 1443278228.6135
MEM 550.011719 1443278228.7245
MEM 543.593750 1443278228.8345
MEM 626.046875 1443278228.9482
MEM 673.835938 1443278229.0589
MEM 698.191406 1443278229.1705
MEM 700.226562 1443278229.2826
MEM 703.867188 1443278229.3897
MEM 635.265625 1443278229.5016
MEM 779.882812 1443278229.6189
MEM 794.875000 1443278229.7338
MEM 824.863281 1443278229.8439
MEM 884.824219 1443278229.9552
MEM 880.171875 1443278230.0691
MEM 887.675781 1443278230.1848
MEM 887.687500 1443278230.2946
MEM 711.746094 1443278230.4078
MEM 851.835938 1443278230.5176
MEM 888.742188 1443278230.6291
MEM 912.167969 1443278230.7429
MEM 969.175781 1443278230.8542
MEM 1008.667969 1443278230.9658
MEM 1004.957031 1443278231.0789
MEM 1012.464844 1443278231.1912
MEM 728.632812 1443278231.3009
MEM 825.214844 1443278231.4143
MEM 967.714844 1443278231.5258
MEM 1020.082031 1443278231.6356
MEM 1035.074219 1443278231.7465
MEM 1050.734375 1443278231.8542
MEM 1131.167969 1443278231.9617
MEM 1165.300781 1443278232.0815
MEM 1161.574219 1443278232.1922
MEM 1169.082031 1443278232.3045
MEM 841.753906 1443278232.4201
MEM 851.675781 1443278232.5352
MEM 971.589844 1443278232.6494
MEM 981.292969 1443278232.7591
MEM 1007.601562 1443278232.8704
MEM 1069.031250 1443278232.9818
MEM 1069.027344 1443278233.0893
MEM 1073.308594 1443278233.2011
MEM 1079.367188 1443278233.3122
MEM 863.085938 1443278233.4201
MEM 967.871094 1443278233.5321
MEM 1072.140625 1443278233.6432
MEM 1153.230469 1443278233.7553
MEM 1320.769531 1443278233.8682
MEM 1493.777344 1443278233.9783
MEM 1556.015625 1443278234.0904
MEM 1562.671875 1443278234.2064
MEM 1555.132812 1443278234.3233
MEM 1378.425781 1443278234.4345
MEM 1515.328125 1443278234.5484
MEM 1337.175781 1443278234.6578
MEM 1374.406250 1443278234.7726
MEM 1439.007812 1443278234.8858
MEM 1519.582031 1443278234.9986
MEM 1344.753906 1443278235.1147
MEM 1372.464844 1443278235.2238
MEM 1477.457031 1443278235.3372
MEM 1614.902344 1443278235.5038
MEM 1666.851562 1443278235.6251
MEM 1599.507812 1443278235.7356
MEM 1561.074219 1443278235.8531
MEM 1678.835938 1443278235.9670
MEM 1604.707031 1443278236.0818
MEM 1530.824219 1443278236.2118
MEM 1488.738281 1443278236.3217
MEM 1264.367188 1443278236.4299
MEM 803.085938 1443278236.5454
MEM 818.351562 1443278236.6546
MEM 804.289062 1443278236.7644
MEM 906.804688 1443278236.8731
MEM 1029.335938 1443278236.9865
MEM 1166.183594 1443278237.0956
MEM 1332.773438 1443278237.2032
MEM 1479.023438 1443278237.3132
MEM 1378.484375 1443278237.4208
MEM 1280.394531 1443278237.5354
MEM 1373.613281 1443278237.6448
MEM 1469.648438 1443278237.7572
MEM 1287.757812 1443278237.8669
MEM 1396.273438 1443278237.9745
MEM 1584.773438 1443278238.1557
MEM 1393.824219 1443278238.5169
MEM 1306.968750 1443278238.6276
MEM 1459.343750 1443278238.7546
MEM 1435.527344 1443278238.8656
MEM 1218.179688 1443278238.9734
MEM 569.886719 1443278239.0840
MEM 576.484375 1443278239.1956
MEM 576.484375 1443278239.3135
MEM 626.812500 1443278239.4253
MEM 781.218750 1443278239.5354
MEM 891.890625 1443278239.6452
MEM 1057.070312 1443278239.7521
MEM 1259.640625 1443278239.8677
MEM 1109.898438 1443278239.9799
MEM 1079.347656 1443278240.0917
MEM 1120.070312 1443278240.2004
MEM 1214.542969 1443278240.3112
MEM 1042.296875 1443278240.4218
MEM 1077.902344 1443278240.5342
MEM 1233.515625 1443278240.6478
MEM 1325.671875 1443278240.7813
MEM 1302.742188 1443278240.8937
MEM 1391.781250 1443278241.0032
MEM 1479.355469 1443278241.1197
MEM 1443.675781 1443278241.2353
MEM 1223.894531 1443278241.3484
MEM 553.125000 1443278241.4572
MEM 559.718750 1443278241.5649
MEM 559.742188 1443278241.6749
MEM 615.070312 1443278241.7861
MEM 757.054688 1443278241.8958
MEM 849.855469 1443278242.0065
MEM 1020.066406 1443278242.1162
MEM 1207.246094 1443278242.2245
MEM 1045.339844 1443278242.3341
MEM 1227.062500 1443278242.4480
MEM 1083.941406 1443278242.5574
MEM 1170.460938 1443278242.6710
MEM 1018.015625 1443278242.7824
MEM 1059.152344 1443278242.8939
MEM 1198.339844 1443278243.0018
MEM 1385.277344 1443278243.1702
MEM 1285.957031 1443278243.2930
MEM 1370.785156 1443278243.4007
MEM 1525.789062 1443278243.5125
MEM 1308.445312 1443278243.6199
MEM 630.199219 1443278243.7317
MEM 636.789062 1443278243.8409
MEM 636.789062 1443278243.9498
MEM 688.578125 1443278244.0581
MEM 795.277344 1443278244.1692
MEM 938.828125 1443278244.2809
MEM 1095.066406 1443278244.3947
MEM 1058.804688 1443278244.5037
MEM 1002.210938 1443278244.6155
MEM 1091.925781 1443278244.7239
MEM 985.714844 1443278244.8372
MEM 1154.062500 1443278244.9826
MEM 1143.792969 1443278245.0939
MEM 1293.687500 1443278245.2034
MEM 913.218750 1443278245.3139
MEM 699.757812 1443278245.4250
MEM 704.453125 1443278245.5349
MEM 702.148438 1443278245.6483
MEM 840.351562 1443278245.7579
MEM 958.902344 1443278245.8699
MEM 1118.941406 1443278245.9811
MEM 1037.976562 1443278246.0916
MEM 1021.488281 1443278246.2028
MEM 1102.722656 1443278246.3141
MEM 1020.363281 1443278246.4301
MEM 1115.882812 1443278246.5431
MEM 1226.800781 1443278246.6773
MEM 1260.875000 1443278246.7857
MEM 1233.386719 1443278246.8955
MEM 765.562500 1443278247.0056
MEM 772.160156 1443278247.1150
MEM 772.160156 1443278247.2250
MEM 832.812500 1443278247.3348
MEM 943.441406 1443278247.4457
MEM 1140.738281 1443278247.5559
MEM 1162.972656 1443278247.6817
MEM 1162.972656 1443278247.7932
MEM 1198.011719 1443278247.9341
MEM 1208.886719 1443278248.0526
MEM 1336.296875 1443278248.1640
MEM 1340.980469 1443278248.2770
MEM 1339.140625 1443278248.3857
MEM 1346.652344 1443278248.4981
MEM 814.542969 1443278248.6086
MEM 910.433594 1443278248.7181
MEM 1066.609375 1443278248.8286
MEM 1092.937500 1443278248.9413
MEM 1118.238281 1443278249.0555
MEM 1148.222656 1443278249.1641
MEM 1230.664062 1443278249.2748
MEM 1224.789062 1443278249.3863
MEM 1234.175781 1443278249.4984
MEM 1234.175781 1443278249.6116
MEM 893.312500 1443278249.7230
MEM 1013.480469 1443278249.8338
MEM 1113.828125 1443278249.9402
MEM 1263.109375 1443278250.0539
MEM 1406.027344 1443278250.1724
MEM 1402.714844 1443278250.2877
MEM 1303.718750 1443278250.3962
MEM 1233.917969 1443278250.5033
MEM 1319.480469 1443278250.6138
MEM 1273.339844 1443278250.7286
MEM 1258.945312 1443278250.8407
MEM 1405.664062 1443278250.9571
MEM 1326.285156 1443278251.0715
MEM 1243.699219 1443278251.2316
MEM 1127.648438 1443278251.4461
MEM 1071.167969 1443278251.5535
MEM 1224.972656 1443278251.6677
MEM 1071.167969 1443278251.7769
MEM 719.250000 1443278251.8871
MEM 735.320312 1443278251.9974
MEM 738.164062 1443278252.1069
MEM 770.621094 1443278252.2172
MEM 906.394531 1443278252.3295
MEM 1003.472656 1443278252.4360
MEM 1149.605469 1443278252.5462
MEM 1353.851562 1443278252.6645
MEM 1245.316406 1443278252.7734
MEM 1159.105469 1443278252.8813
MEM 1253.281250 1443278252.9956
MEM 1340.906250 1443278253.1044
MEM 1179.640625 1443278253.2149
MEM 1302.425781 1443278253.3236
MEM 1192.855469 1443278253.8525
MEM 1114.917969 1443278253.9648
MEM 1231.070312 1443278254.0775
MEM 1216.589844 1443278254.1897
MEM 1081.656250 1443278254.3008
MEM 494.218750 1443278254.4144
MEM 501.875000 1443278254.5265
MEM 506.566406 1443278254.6373
MEM 537.617188 1443278254.7500
MEM 692.894531 1443278254.8614
MEM 800.562500 1443278254.9712
MEM 969.863281 1443278255.0828
MEM 1144.765625 1443278255.1969
MEM 1047.175781 1443278255.3081
MEM 948.472656 1443278255.4210
MEM 1032.785156 1443278255.5308
MEM 1122.140625 1443278255.6404
MEM 959.269531 1443278255.7511
MEM 1074.855469 1443278255.8630
MEM 1235.097656 1443278256.0415
MEM 1190.628906 1443278256.3257
MEM 1167.648438 1443278256.4340
MEM 1257.710938 1443278256.5552
MEM 1237.433594 1443278256.6679
MEM 1231.132812 1443278256.7794
MEM 827.503906 1443278256.8876
MEM 548.312500 1443278256.9985
MEM 553.953125 1443278257.1097
MEM 547.554688 1443278257.2198
MEM 668.488281 1443278257.3278
MEM 772.441406 1443278257.4418
MEM 928.871094 1443278257.5533
MEM 1104.136719 1443278257.6626
MEM 1064.144531 1443278257.7718
MEM 1128.648438 1443278257.8822
MEM 1027.218750 1443278257.9961
MEM 1109.222656 1443278258.1033
MEM 1050.738281 1443278258.2177
MEM 1023.210938 1443278258.3300
MEM 1164.335938 1443278258.4445
MEM 1324.027344 1443278258.8079
MEM 1215.941406 1443278258.9164
MEM 1323.218750 1443278259.0309
MEM 1411.449219 1443278259.1442
MEM 1186.777344 1443278259.2566
MEM 582.003906 1443278259.3710
MEM 591.699219 1443278259.4818
MEM 595.214844 1443278259.5897
MEM 641.269531 1443278259.7007
MEM 761.046875 1443278259.8145
MEM 918.558594 1443278259.9316
MEM 918.558594 1443278260.0423
MEM 943.484375 1443278260.1530
MEM 960.468750 1443278260.2628
MEM 1054.808594 1443278260.3747
MEM 1080.640625 1443278260.4949
MEM 1076.910156 1443278260.6068
MEM 1084.417969 1443278260.7147
MEM 636.628906 1443278260.8256
MEM 738.882812 1443278260.9371
MEM 856.707031 1443278261.0456
MEM 982.429688 1443278261.1664
MEM 982.429688 1443278261.2760
MEM 1008.523438 1443278261.3866
MEM 1023.738281 1443278261.4981
MEM 1121.132812 1443278261.6076
MEM 1144.511719 1443278261.7280
MEM 1140.792969 1443278261.8371
MEM 1148.296875 1443278261.9471
MEM 706.199219 1443278262.0577
MEM 802.683594 1443278262.1678
MEM 932.765625 1443278262.2796
MEM 1046.292969 1443278262.3895
MEM 1046.292969 1443278262.4993
MEM 1074.402344 1443278262.6101
MEM 1100.597656 1443278262.7201
MEM 1209.316406 1443278262.8305
MEM 1201.820312 1443278262.9430
MEM 1212.171875 1443278263.0577
MEM 1212.171875 1443278263.1666
MEM 799.398438 1443278263.2759
MEM 956.835938 1443278263.3876
MEM 1069.929688 1443278263.4991
MEM 1226.585938 1443278263.6089
MEM 1376.242188 1443278263.7239
MEM 1388.316406 1443278263.8398
MEM 1413.097656 1443278263.9539
MEM 1383.187500 1443278264.0686
MEM 1337.273438 1443278264.1870
MEM 1146.710938 1443278264.4165
MEM 1056.285156 1443278264.5509
MEM 1103.957031 1443278264.6734
MEM 1015.519531 1443278264.7854
MEM 923.871094 1443278265.0601
MEM 984.046875 1443278265.1705
MEM 1043.585938 1443278265.2802
MEM 1117.812500 1443278265.4023
MEM 871.957031 1443278265.5155
MEM 908.261719 1443278265.6310
MEM 1001.105469 1443278265.7413
MEM 1144.062500 1443278265.8559
MEM 1056.671875 1443278266.1361
MEM 1040.480469 1443278266.4144
MEM 1012.210938 1443278266.5281
MEM 1006.566406 1443278266.6395
MEM 1105.472656 1443278266.7702
MEM 1190.503906 1443278266.9183
MEM 1214.015625 1443278267.0329
MEM 1231.097656 1443278267.1465
MEM 1006.257812 1443278267.2572
MEM 982.816406 1443278267.3719
MEM 606.253906 1443278267.4837
MEM 619.578125 1443278267.5920
MEM 625.093750 1443278267.7028
MEM 618.816406 1443278267.8148
MEM 737.910156 1443278267.9255
MEM 851.167969 1443278268.0370
MEM 955.460938 1443278268.1461
MEM 1119.066406 1443278268.2566
MEM 1300.750000 1443278268.3689
MEM 1111.757812 1443278268.4814
MEM 1227.480469 1443278268.5962
MEM 1107.605469 1443278268.7063
MEM 1199.996094 1443278268.8180
MEM 1280.222656 1443278268.9356
MEM 1100.515625 1443278269.0481
MEM 1131.433594 1443278269.1591
MEM 1221.437500 1443278269.2756
MEM 1351.191406 1443278269.3938
MEM 1374.867188 1443278269.5238
MEM 1443.925781 1443278269.7513
MEM 1471.378906 1443278269.8753
MEM 1385.929688 1443278269.9862
MEM 1477.378906 1443278270.1031
MEM 1460.164062 1443278270.2179
MEM 1444.550781 1443278270.3294
MEM 1229.480469 1443278270.4400
MEM 675.214844 1443278270.5524
MEM 682.714844 1443278270.6661
MEM 687.406250 1443278270.7756
MEM 687.425781 1443278270.8869
MEM 735.195312 1443278270.9945
MEM 864.207031 1443278271.1011
MEM 1010.828125 1443278271.2111
MEM 1084.617188 1443278271.3253
MEM 1228.402344 1443278271.4386
MEM 1367.375000 1443278271.5510
MEM 1497.023438 1443278271.6845
MEM 1468.140625 1443278271.8027
MEM 1399.386719 1443278271.9273
MEM 1352.375000 1443278272.0522
MEM 1420.972656 1443278272.1632
MEM 1448.968750 1443278272.2767
MEM 1318.855469 1443278272.4914
MEM 1329.015625 1443278272.6046
MEM 1385.773438 1443278272.7154
MEM 1440.027344 1443278272.8286
MEM 1490.253906 1443278272.9395
MEM 1457.000000 1443278273.0503
MEM 1319.980469 1443278273.1642
MEM 1478.671875 1443278273.2724
MEM 1228.343750 1443278273.3852
MEM 1302.769531 1443278273.4966
MEM 1378.929688 1443278273.6102
MEM 1462.074219 1443278273.7221
MEM 1355.105469 1443278273.8636
MEM 1238.035156 1443278273.9731
MEM 1267.777344 1443278274.0841
MEM 1370.972656 1443278274.2035
MEM 1515.476562 1443278274.3117
MEM 1609.027344 1443278274.4682
MEM 1609.332031 1443278274.6042
MEM 1424.121094 1443278275.0188
MEM 1412.320312 1443278275.1502
MEM 1376.800781 1443278275.3040
MEM 1358.808594 1443278275.4164
MEM 1442.019531 1443278275.5272
MEM 1481.507812 1443278275.6533
MEM 1505.988281 1443278275.7738
MEM 1506.652344 1443278275.8828
MEM 1184.382812 1443278275.9964
MEM 874.937500 1443278276.1043
MEM 682.261719 1443278276.2150
MEM 697.261719 1443278276.3277
MEM 691.003906 1443278276.4366
MEM 814.000000 1443278276.5457
MEM 958.468750 1443278276.6541
MEM 1073.386719 1443278276.7644
MEM 1171.527344 1443278276.8756
MEM 1327.500000 1443278276.9846
MEM 1461.121094 1443278277.0974
MEM 1644.777344 1443278277.2086
MEM 1780.871094 1443278277.3276
MEM 1792.644531 1443278277.4463
MEM 1808.250000 1443278277.5592
