sn2007ru,r,y
sn2007ru,U,y
sn2007rz,B,n
sn2007rz,i,y
sn2007rz,r,y
sn2007rz,V,y
sn2007uy,H,y
sn2007uy,J,y
sn2007uy,K,y
sn2007Y,B,n
sn2007Y,m2,n
sn2007Y,r,n
sn2007Y,U,y
sn2007Y,V,n
sn2007Y,w1,y
sn2007Y,w2,y
sn2008aq,B,y
sn2008aq,i,y
sn2008aq,r,y
sn2008aq,U,n
sn2008aq,V,y
sn2008aq,w1,n
sn2008aq,w2,n
sn2008ax,H,y
sn2008ax,I,y
sn2008ax,J,y
sn2008ax,K,y
sn2008ax,m2,n
sn2008ax,R,y
sn2008ax,U,y
sn2008ax,V,y
sn2008ax,w1,y
sn2008ax,w2,y
sn2008bo,B,y
sn2008bo,i,y
sn2008bo,r,y
sn2008bo,V,y
sn2008bo,w1,y
sn2008bo,w2,n
sn2008cw,B,y
sn2008cw,r,y
sn2008cw,V,y
sn2008D,H,y
sn2008D,I,y
sn2008D,J,y
sn2008D,K,y
sn2008D,m2,n
sn2008D,R,y
sn2008D,V,y
sn2008D,w2,n
sn2009bb,B,y
sn2009bb,H,y
sn2009bb,I,y
sn2009bb,J,y
sn2009bb,R,y
sn2009bb,u,y
sn2009bb,V,y
sn2009er,B,y
sn2009er,J,y
sn2009er,V,y
sn2009iz,B,y
sn2009iz,i,y
sn2009iz,K,y
sn2009iz,r,y
sn2009iz,u,y
sn2009iz,V,y
sn2009jf,B,y
sn2009jf,i,y
sn2009jf,J,y
sn2009jf,K,y
sn2009jf,r,y
sn2009jf,u,y
sn2009jf,V,y
sn2009mg,m2,n
sn2009mg,V,y
sn2009mg,w1,y
sn2009mg,w2,y
sn2009mk,B,y
sn2009mk,m2,n
sn2009mk,V,y
sn2009mk,w2,n
sn2010ah,B,n
sn2010ah,I,n
sn2010ah,R,y
sn2010ah,U,n
sn2010ah,V,n
sn2010ah,w1,n
sn2010ah,w2,n
sn2010as,B,y
sn2010as,I,y
sn2010as,K,y
sn2010as,r,y
sn2010as,V,y
sn2010bh,B,y
sn2010bh,I,y
sn2010bh,R,y
sn2010bh,U,n
sn2010bh,V,y
sn2010cn,U,y
sn2010cn,V,y
sn2010cn,w1,n
sn2010cn,w2,y
sn2010S,B,n
sn2010S,m2,n
sn2010S,U,n
sn2010S,V,n
sn2010S,w1,n
sn2010S,w2,n
sn2011am,B,y
sn2011am,V,y
sn2011am,w1,n
sn2011am,w2,n
sn2011bm,B,y
sn2011bm,H,n
sn2011bm,J,n
sn2011bm,K,y
sn2011bm,R,y
sn2011bm,U,y
sn2011bm,V,y
sn2011dh,B,y
sn2011dh,i,y
sn2011dh,r,y
sn2011dh,u,y
sn2011dh,V,y
sn2011ei,B,y
sn2011ei,I,y
sn2011ei,R,y
sn2011ei,u,y
sn2011ei,V,y
sn2011ei,w1,y
sn2011fu,I,y
sn2011fu,R,y
sn2011fu,V,y
sn2011hs,B,n
sn2011hs,I,y
sn2011hs,m2,y
sn2011hs,R,n
sn2011hs,U,y
sn2011hs,V,y
sn2011hs,w1,y
sn2011hs,w2,y
sn2011hw,B,y
sn2011hw,I,y
sn2011hw,R,y
sn2011hw,U,y
sn2011hw,w2,y
sn2012bz,i,y
sn2012bz,K,n
sn2012bz,m2,n
sn2012bz,r,y
sn2012bz,u,n
sn2012bz,w1,n
sn2012bz,w2,n
sn2012cd,R,y
sn2012hn,B,y
sn2012hn,I,y
sn2012hn,U,n
sn2012P,B,n
sn2012P,i,n
sn2012P,r,n
sn2012P,U,n
sn2013ak,B,y
sn2013ak,m2,y
sn2013ak,U,y
sn2013ak,V,y
sn2013ak,w1,y
sn2013ak,w2,y
sn2013cq,B,y
sn2013cq,I,y
sn2013cq,R,n
sn2013cq,V,n
sn2013df,B,y
sn2013df,I,y
sn2013df,R,y
sn2013df,U,y
sn2013df,w2,y
sn2013dx,H,y
sn2013dx,i,n
sn2013dx,J,y
sn2013dx,R,n
sn2015U,I,y
sn2015U,R,y
sn2015U,V,y
