,jd,mag,magerr,filter
275,2458881.0106134,20.70984913895344,0.19816682912981237,ZTF_r
276,2458881.0115046,20.544658169823478,0.14655628872092008,ZTF_r
277,2458881.0290046,20.79486658673359,0.22080801181866802,ZTF_r
278,2458881.0304167,20.684238289407446,0.22038330086602956,ZTF_r
282,2458881.7964468,20.278077780783022,0.1926238935606404,ZTF_r
283,2458881.8223611,20.457254716317774,0.22347631133604937,ZTF_r
284,2458881.8916435,20.804503234233596,0.20952514147854934,ZTF_i
285,2458881.8939468,20.860227655267707,0.20756987974398267,ZTF_i
286,2458881.9278472,20.739535950241894,0.212083909987802,ZTF_i
287,2458881.9678704,21.000264596977246,0.20710698535452965,ZTF_g
289,2458881.9870718,20.89100490850844,0.18209994944623087,ZTF_g
290,2458881.9879745,21.066834795063244,0.18788646040697182,ZTF_g
291,2458881.9902662,20.905343628702866,0.18215692046824666,ZTF_g
292,2458882.0316204,20.54795600037213,0.17081453627460183,ZTF_r
293,2458882.0704977,20.615060594845737,0.22776055903089318,ZTF_i
296,2458883.8191782,20.35134436830557,0.23272484834594034,ZTF_i
301,2458883.9702546,20.590922248623915,0.2093490597859128,ZTF_g
302,2458883.992037,20.718708375275035,0.24068070760140717,ZTF_g
305,2458884.030625,20.126350896580853,0.1571471030661967,ZTF_r
310,2458884.818044,20.15176915440751,0.20840102282312928,ZTF_i
312,2458884.8630903,20.224196970602563,0.21057347045325545,ZTF_i
313,2458884.9063657,20.398089206187535,0.1843358968756295,ZTF_i
315,2458884.9520486,20.56137432653548,0.22644145017248832,ZTF_g
316,2458884.972338,20.753544522914815,0.2306605452141664,ZTF_g
318,2458885.0334375,20.171994410043943,0.15861131645939527,ZTF_r
319,2458885.0343519,20.487561154535904,0.23032276069417473,ZTF_r
320,2458885.0352546,20.340085095839704,0.19136831831714135,ZTF_r
329,2458885.9508449,20.386045617360054,0.24006931866833958,ZTF_g
332,2458886.0121875,20.587532974651303,0.21598914909389874,ZTF_r
333,2458886.0154051,20.19236116516635,0.16738667196074863,ZTF_r
336,2458886.866794,20.433395955846052,0.1928357453506205,ZTF_i
337,2458886.8879167,20.375235397456464,0.16924944418824914,ZTF_i
339,2458886.9465394,20.305424062190014,0.22042772871237512,ZTF_g
343,2458887.013287,20.11596109559231,0.17711413310969001,ZTF_r
344,2458887.0146644,20.192172075586576,0.20123631803318504,ZTF_r
345,2458887.0293287,20.081538825043967,0.18340668705324595,ZTF_r
346,2458887.030706,20.128512847319232,0.14874806799159213,ZTF_r
347,2458887.0316088,20.053704119610366,0.14311315726770088,ZTF_r
350,2458887.7777315,19.969395020388934,0.17647797294630574,ZTF_i
352,2458887.8254977,20.227747373405478,0.1708104294197292,ZTF_i
356,2458887.97,20.057173839649728,0.21305364374892327,ZTF_g
357,2458887.9920255,20.330096589324842,0.21036128961355183,ZTF_r
358,2458887.9929514,19.94384501113197,0.18031758855991092,ZTF_r
365,2458888.8706366,20.244486629595716,0.2186907923849567,ZTF_i
366,2458888.8846991,19.910024961793134,0.2019425177302361,ZTF_i
374,2458890.8496412,20.159037357935667,0.19415573944112732,ZTF_i
376,2458890.8882639,20.173996399038657,0.20674857718735987,ZTF_i
390,2458891.8412269,20.40521382217196,0.19151261163885752,ZTF_i
391,2458891.8891088,20.214245105700282,0.2123039614873157,ZTF_i
392,2458891.9064583,20.099443698058014,0.19431309886197662,ZTF_i
393,2458891.9076273,20.245037311786085,0.19069107841631394,ZTF_i
398,2458891.9845833,20.12200895477001,0.17759731422316266,ZTF_r
399,2458891.9878819,20.146221147732092,0.15578739345612005,ZTF_r
400,2458892.0098611,20.205276243424947,0.17565209580936647,ZTF_r
401,2458892.0121412,20.27929103473862,0.23934015443431622,ZTF_r
404,2458892.8224537,20.13459523231389,0.19655841167847243,ZTF_r
409,2458892.9546528,20.322376699449045,0.1409838810460646,ZTF_i
410,2458892.9678241,20.275212287937624,0.14897947690962118,ZTF_i
411,2458892.9701273,20.343511556954375,0.14313496939443726,ZTF_i
412,2458892.9891898,20.206017110519294,0.13907108252510042,ZTF_i
413,2458893.0074074,20.018044782633908,0.16276995464248717,ZTF_r
414,2458893.8163889,20.18906285121657,0.14140844999653068,ZTF_r
415,2458893.8722569,20.431154497809306,0.1426132159839023,ZTF_i
416,2458893.910544,20.320636942991698,0.14018377086583675,ZTF_i
417,2458893.9290162,20.632910032083185,0.2002439085855277,ZTF_i
418,2458893.9301852,20.529160312985177,0.16673123402614615,ZTF_i
420,2458893.948044,20.677713579574352,0.19272327007170598,ZTF_g
422,2458893.9664468,20.661823963084018,0.1792932027615155,ZTF_g
425,2458894.0105324,20.176479544769116,0.1226080793764831,ZTF_r
426,2458894.0114352,20.385429515193255,0.15410899687031057,ZTF_r
