 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 19 763 14 2 ZTF_r 787547605415 0 2.8659 186.89 5.70625 26.1942 2.7947e-06 0.0229241 0.0968266 5.15218e-06 1196 30. 0.044631 0.058012 20.4057 26.1942 1 2458542.0476042 763120254 -15.9709126677174 26.1637130412383 -0.679024053348243 1.10164233864346 -67.6488883149197 42.7501144222332 -1.59308363007501 1.09013630519104 0.266783758687339 18.6179999351501 0.0430000014603138 3.42499995231628 0.186000004410744 2458155.060220 2458220.001366 0
 20 763 14 2 ZTF_r 789446895415 48 2.5629 1.82896 7.06206 21.3158 0.0685594 0.127947 -0.111309 0.168333 9 30. 0.083163 0.103369 15.1623 21.3158 2 2458543.9468981 763120254 -59.49203071071 36.970428669684 -1.79002504875932 0.980420591408831 -18.2744297587952 59.8223524117065 -0.307535701171092 1.10270269276523 0.266783758687339 18.6179999351501 0.0430000014603138 3.42499995231628 0.186000004410744 2458155.060220 2458220.001366 0
 21 763 14 2 ZTF_r 789473475415 32 2.0702 7.04929 6.77656 22.6768 0.000292112 0.0922061 0.0674587 0.000717101 234 30. 0.056822 0.069119 16.7127 22.6768 2 2458543.9734722 763120254 -30.2737305405244 30.6338278477957 -1.09930821829399 1.02020961439739 -13.7514666729034 54.6865128336945 -0.253153526798017 1.06155745147437 0.266783758687339 18.6179999351501 0.0430000014603138 3.42499995231628 0.186000004410744 2458155.060220 2458220.001366 0
 22 763 14 2 ZTF_g 789497065415 0 2.2529 79.7185 4.08086 25.8836 1.82965e-05 0.0584766 -0.0436728 3.43172e-05 1181 30. 0.066169 0.054325 20.5126 25.8836 2 2458543.9970602 763120154 -54.4159391940135 18.9775562528994 -3.18963246434816 1.01251433659417 -48.1673737016741 32.4309258679034 -1.4952327889859 1.07544746932429 0.208120490429944 19.0639998435974 0.0399999991059303 3.15700006484985 0.101999998092651 2458204.934965 2458228.995775 0
 23 763 14 2 ZTF_g 789510395415 0 2.0469 78.7929 4.30864 25.8838 1.23603e-05 0.0482862 -0.0565356 2.31891e-05 1190 30. 0.05912 0.054558 20.5144 25.8838 2 2458544.0103935 763120154 -58.6446726742946 18.0024040314745 -3.62370523400533 1.02091849045136 -82.2752876543323 32.2298105684791 -2.56996286944959 1.0641273517653 0.208120490429944 19.0639998435974 0.0399999991059303 3.15700006484985 0.101999998092651 2458204.934965 2458228.995775 0
 24 763 14 2 ZTF_g 789531285415 0 2.4682 44.4834 4.77018 25.2557 1.48195e-05 0.0461818 -0.027893 3.50024e-05 977 30. 0.054103 0.060462 19.6522 25.2557 2 2458544.0312847 763120154 30.0423876402479 26.3729145585893 1.26715901861511 0.921556183766599 64.5518144364568 43.0595406697836 1.50922591392788 1.08518250414374 0.208120490429944 19.0639998435974 0.0399999991059303 3.15700006484985 0.101999998092651 2458204.934965 2458228.995775 0
 25 763 14 2 ZTF_i 789550565415 33554480 1.7511 3.0641 7.97693 21.1038 0.00306626 0.132417 0.107962 0.0152046 18 30. 0.055567 0.083898 15.0926 21.1038 2 2458544.0505671 763120354 -12.3144648761835 37.1480124647205 -0.368752321277365 0.963784377063775 -57.9565995814895 72.0748357296426 -0.809532758882194 1.096011114086 0.309106276483805 18.5229999160767 0.0670000016689301 3.81200003623962 0.372999995946884 2458227.891019 2458379.635255 0
 26 763 14 2 ZTF_i 793548865415 0 1.76 193.706 6.56509 25.5084 1.2598e-06 0.0229344 0.180626 7.94775e-06 1201 30. 0.041598 0.056692 19.7701 25.5084 2 2458548.0488657 763120354 -23.6181874174696 28.3380704107012 -0.927109626637537 1.03741313227386 -73.6854685893433 53.0448197893967 -1.39847292825769 1.05718384426733 0.309106276483805 18.5229999160767 0.0670000016689301 3.81200003623962 0.372999995946884 2458227.891019 2458379.635255 0
 27 763 14 2 ZTF_g 802447185415 0 2.8079 105.441 5.0366 26.2206 5.1705e-06 0.031131 -0.0374458 9.76304e-06 1188 30. 0.052823 0.060804 20.4186 26.2206 2 2458556.9471875 763120154 17.849653653757 26.8049949248532 0.740745233252222 1.02184363343787 -48.0618936884805 40.6090387513701 -1.19149811951845 1.09931036753557 0.208120490429944 19.0639998435974 0.0399999991059303 3.15700006484985 0.101999998092651 2458204.934965 2458228.995775 0
 28 763 14 2 ZTF_g 802473805415 0 2.7668 107.272 4.88512 26.2443 4.4963e-06 0.02901 -0.0460534 8.50358e-06 1188 30. 0.05231 0.055017 20.4483 26.2443 2 2458556.9738079 763120154 57.3876251217829 28.1062295846196 2.27127888923052 0.99667374105282 76.4425805150004 42.8338685846279 1.79664896577901 1.09188659217415 0.208120490429944 19.0639998435974 0.0399999991059303 3.15700006484985 0.101999998092651 2458204.934965 2458228.995775 0
